ClaimID,Status,FraudFlag,PolicyType,CoverageAmount,CustomerName,State,ClaimAmount,SettlementAmount,CostVariance,DaysToSettle,ClaimValueCategory,DateOfLoss,PolicyStartDate
30000,Denied,0,Health,16933.00,"Michael Peterson",TN,2421.50,0.00,2421.50,4,"Low Value",2023-09-10,2022-10-12
30001,Approved,0,Auto,70488.00,"Mrs. Jessica Holt",DC,12891.88,11374.40,1517.48,78,"Medium Value",2025-12-08,2025-06-29
30002,Approved,0,Life,99951.00,"Tyler Martinez",CT,14756.82,14292.10,464.72,63,"Medium Value",2022-10-24,2022-08-16
30003,Approved,0,Life,193454.00,"Stacy Beck",ND,36645.02,36203.56,441.46,60,"Medium Value",2024-12-04,2024-02-16
30004,Approved,0,Auto,80941.00,"David Winters",IN,8668.54,8246.69,421.85,3,"Low Value",2025-07-02,2024-09-27
30005,Approved,0,Life,794460.00,"Andrea Griffin",PA,96140.23,87349.29,8790.94,79,"High Value",2025-03-17,2024-07-08
30006,Approved,0,Home,179503.00,"Kenneth Cunningham",CT,17173.38,16011.22,1162.16,66,"Medium Value",2025-07-04,2025-04-28
30007,Approved,0,Auto,76427.00,"Gloria Ward",KS,9676.83,8363.74,1313.09,1,"Low Value",2023-06-14,2023-01-31
30008,Approved,0,Home,244675.00,"Melissa Hicks",OH,7971.32,7397.98,573.34,70,"Low Value",2023-11-01,2023-04-06
30009,Denied,0,Health,18781.00,"Samuel Gonzales",GA,1802.34,0.00,1802.34,14,"Low Value",2022-12-10,2022-09-30
30011,Denied,0,Health,46480.00,"Michael Becker",MI,6164.55,0.00,6164.55,27,"Low Value",2023-06-12,2023-04-02
30013,Denied,0,Life,237292.00,"Molly Jensen",OH,6192.78,0.00,6192.78,2,"Low Value",2023-07-15,2023-01-09
30014,Denied,0,Home,553047.00,"Wesley Mccormick",MT,9408.74,0.00,9408.74,11,"Low Value",2024-08-27,2024-06-04
30015,Approved,0,Home,506262.00,"Jessica Kent",MS,74614.48,66122.09,8492.39,0,"High Value",2025-03-04,2024-03-11
30016,Approved,0,Life,993266.00,"Linda Watts",NY,191089.99,175247.58,15842.41,86,"High Value",2023-05-20,2022-12-18
30017,Approved,0,Auto,56685.00,"Jeremy Williams",ID,3837.54,3453.79,383.75,39,"Low Value",2023-02-04,2023-01-06
30018,Approved,0,Auto,72799.00,"Cathy Griffin",MI,2710.39,2430.46,279.93,68,"Low Value",2022-11-08,2022-09-01
30019,Approved,0,Life,146443.00,"Tyler Carroll",TN,1572.40,1416.51,155.89,70,"Low Value",2023-06-18,2023-01-08
30020,Approved,0,Auto,26881.00,"Cory Smith",AZ,1775.96,1691.73,84.23,85,"Low Value",2022-12-24,2022-07-29
